sentence,intent,,,,,
나 프로젝트 완전히 끝냈어!,0,,,,,
그냥 집에만 있으니까 무기력하고 기분이 별로야.,0,,,,,
그렇게 말해주니 기분이 좋구만.,0,,,,,
너무 답답해서 전화를 했는데 전화도 안받아.,0,,,,,
"그런가봐. 요새 프로젝트 하느라 너무 바쁜데, 그것 때문에 그런가봐.",0,,,,,
"그 일을 왜 그렇게 했는지 모르겠어, 진짜 후회돼.",0,,,,,
그러게. 그렇게 큰 일이 아니면 좋겠는데.,0,,,,,
그때 그 일을 하지 말 걸 그랬어요.,0,,,,,
권태기지 뭐.,0,,,,,
내 가족들이랑 동해바다에 가서 놀다 오기로 했어.,0,,,,,
"파티에 가지 말 걸, 후회돼.",0,,,,,
내가 뒤쪽에 있어서 앞이 잘 보이지 않아서 무슨 일인지 잘 못 봤어.,0,,,,,
"그래, 그냥 음악이나 들으면서 기분 풀어야겠어. 신나는 음악이 좋아.",0,,,,,
"고생이 많지, 내가 정말.",0,,,,,
그래야겠어. 그래야 마음을 진정시키지.,0,,,,,
내가 깜짝 놀라서 막 달려가서 해피를 안고왔기 때문에 다행히 아무 일도 없었어.,0,,,,,
고마워. 그래도 너밖에 없다.,0,,,,,
"그럴려고 하고 있어 오늘 회사도 연차냈어.	",0,,,,,
나 혼자 집 안에 있으니까 너무 무섭고 두려워.,0,,,,,
그저께 밤에 갑자기 의식을 잃어서 정신없이 병원에 데려갔는데 그렇게 됐어.,0,,,,,
그러게. 경찰들도 아주 고생이야.,0,,,,,
"그래야겠어 취미생활이라도 좀 가지면 나아지겠지.	",0,,,,,
그러기를 바래야지.,0,,,,,
그래요. 한 번 열어볼게요.,0,,,,,
기분도 좋은데 신나는 음악 듣는 거 정말 좋겠다!,0,,,,,
그래야겠다! 더 신나겠는데?,0,,,,,
다 내 잘못이야.,0,,,,,
나 우리집에 갇혔어.,0,,,,,
그럴까봐. 내 친구 병원가는데 같이 가기로 했는데 나도 검사 좀 받아봐야겠어.,0,,,,,
1층에서 4층 올라갈려고 엘리베이터 탔는데 갇혔어.,0,,,,,
그래야지. 친구들이랑 이제 맛있는 음식도 많이 먹고 재미난 것도 많이 하려구.,0,,,,,
그냥 뭐 이런저런거 하고있지. 쉽지 않은 것 같아. 계속 손해만. 아휴.,0,,,,,
나 룸메랑 또 싸웠어.,0,,,,,
고마워. 좋은 집으로 부탁해.,0,,,,,
그래 나갈 수가 없어.,0,,,,,
너무 마음이 아파. 이렇게 누가 죽은 적은 처음이거든.,0,,,,,
"같이 밥 먹던 친구가 발목을 다쳤는데, 다행히 큰 부상은 아닌 거 같아.",0,,,,,
경기도에 있는 유기견보호소였는데 그 곳 아이들이 너무 처참했어.,0,,,,,
나 정말 겁이 나. 혼자 갇힌 것 같아.,0,,,,,
그때 왜 그렇게 행동했을까?,0,,,,,
난 영화를 좋아하니깐 영화 다운받아서 보면서 지낼래.,0,,,,,
다들 바빠서 집에 가기 바뻐.,0,,,,,
나도 알아! 니가 뭔데 참견이야!,0,,,,,
금융 관련 지주를 들고 있어.,0,,,,,
계속 다닐 수 있어.,0,,,,,
너무 지저분해. 청소를 너무 안해.,0,,,,,
그러게. 힘든 직업이다. ,0,,,,,
그래야겠지? 다른 친구들도 나랑 똑같을 거야. 비위가 상해서 쓸 수가 없을 거야.,0,,,,,
그냥. 남들 다 하길래. 근데 잃었어.,0,,,,,
그래야겠어. 당장 내일부터 친구들 만나야지.,0,,,,,
뉴스를 봤는데 유기견 문제가 심각하더라.,0,,,,,
내가 못나고 답답해서 그냥 무작정 걷고 있어.,0,,,,,
그럼. 최종 발표를 마쳤으니까 이제 완전히 끝난 거야. 야호!,0,,,,,
결국 나 헤어졌어.,0,,,,,
계속 좋게 지내려면 그 방법도 괜찮은 것 같아.,0,,,,,
"날 만날 때마다 맨날 늦는데, 나도 그냥 집에 갈까 봐.",0,,,,,
갑자기 내린 비로 집 밖이 물바다래.,0,,,,,
겠어. 오늘부터 운동 시작해보려고. 고마워.,0,,,,,
너의 말대로 장마철이라서 습기가 더 생겨서 그런지 화장실에 곰팡이가 더 많이 보여. 볼 때마다 청소를 하는데 너무 힘들어.,0,,,,,
아니에요. 매일매일 좀 많이 연습했던 게 있었던 거 같아요,0,,,,,
그렇지. 궁금하지. 그래서 구경 갔는데 입구에서부터 막아대더라고.,0,,,,,
김치찌개 레시피 좀 알려주세요,1,,,,,
스파게티 만드는 법 가르쳐 주세요,1,,,,,
갈비찜은 어떻게 만들어야 하나요?,1,,,,,
김치찌개 레시피가 필요해요.,1,,,,,
김치찌개 만드는 법 좀 알려주세요.,1,,,,,
김치찌개 요리법을 알고 싶어요.,1,,,,,
김치찌개 어떻게 만들어요?,1,,,,,
김치찌개 레시피 알려줄래요?,1,,,,,
김치찌개 요리하는 방법 좀 가르쳐주세요.,1,,,,,
김치찌개 만드는 방법 알려주세요.,1,,,,,
김치찌개 레시피 부탁드립니다.,1,,,,,
김치찌개 만드는 법을 알고 싶어요.,1,,,,,
김치찌개 요리법 좀 알려주시겠어요?,1,,,,,
된장찌개 레시피가 필요해요.,1,,,,,
된장찌개 만드는 법 좀 알려주세요.,1,,,,,
된장찌개 요리법을 알고 싶어요.,1,,,,,
된장찌개 어떻게 만들어요?,1,,,,,
된장찌개 레시피 알려줄래요?,1,,,,,
된장찌개 요리하는 방법 좀 가르쳐주세요.,1,,,,,
된장찌개 만드는 방법 알려주세요.,1,,,,,
된장찌개 레시피 부탁드립니다.,1,,,,,
된장찌개 만드는 법을 알고 싶어요.,1,,,,,
된장찌개 요리법 좀 알려주시겠어요?,1,,,,,
불고기 레시피가 필요해요.,1,,,,,
불고기 만드는 법 좀 알려주세요.,1,,,,,
불고기 요리법을 알고 싶어요.,1,,,,,
불고기 어떻게 만들어요?,1,,,,,
불고기 레시피 알려줄래요?,1,,,,,
불고기 요리하는 방법 좀 가르쳐주세요.,1,,,,,
불고기 만드는 방법 알려주세요.,1,,,,,
불고기 레시피 부탁드립니다.,1,,,,,
불고기 만드는 법을 알고 싶어요.,1,,,,,
불고기 요리법 좀 알려주시겠어요?,1,,,,,
비빔밥 레시피가 필요해요.,1,,,,,
비빔밥 만드는 법 좀 알려주세요.,1,,,,,
비빔밥 요리법을 알고 싶어요.,1,,,,,
비빔밥 어떻게 만들어요?,1,,,,,
비빔밥 레시피 알려줄래요?,1,,,,,
비빔밥 요리하는 방법 좀 가르쳐주세요.,1,,,,,
비빔밥 만드는 방법 알려주세요.,1,,,,,
비빔밥 레시피 부탁드립니다.,1,,,,,
비빔밥 만드는 법을 알고 싶어요.,1,,,,,
비빔밥 요리법 좀 알려주시겠어요?,1,,,,,
잡채 레시피가 필요해요.,1,,,,,
잡채 만드는 법 좀 알려주세요.,1,,,,,
잡채 요리법을 알고 싶어요.,1,,,,,
잡채 어떻게 만들어요?,1,,,,,
잡채 레시피 알려줄래요?,1,,,,,
잡채 요리하는 방법 좀 가르쳐주세요.,1,,,,,
잡채 만드는 방법 알려주세요.,1,,,,,
잡채 레시피 부탁드립니다.,1,,,,,
잡채 만드는 법을 알고 싶어요.,1,,,,,
잡채 요리법 좀 알려주시겠어요?,1,,,,,
떡볶이 레시피가 필요해요.,1,,,,,
떡볶이 만드는 법 좀 알려주세요.,1,,,,,
떡볶이 요리법을 알고 싶어요.,1,,,,,
떡볶이 어떻게 만들어요?,1,,,,,
떡볶이 레시피 알려줄래요?,1,,,,,
떡볶이 요리하는 방법 좀 가르쳐주세요.,1,,,,,
떡볶이 만드는 방법 알려주세요.,1,,,,,
떡볶이 레시피 부탁드립니다.,1,,,,,
떡볶이 만드는 법을 알고 싶어요.,1,,,,,
떡볶이 요리법 좀 알려주시겠어요?,1,,,,,
라면 레시피가 필요해요.,1,,,,,
라면 만드는 법 좀 알려주세요.,1,,,,,
라면 요리법을 알고 싶어요.,1,,,,,
라면 어떻게 만들어요?,1,,,,,
라면 레시피 알려줄래요?,1,,,,,
라면 요리하는 방법 좀 가르쳐주세요.,1,,,,,
라면 만드는 방법 알려주세요.,1,,,,,
라면 레시피 부탁드립니다.,1,,,,,
라면 만드는 법을 알고 싶어요.,1,,,,,
라면 요리법 좀 알려주시겠어요?,1,,,,,
갈비찜 레시피가 필요해요.,1,,,,,
갈비찜 만드는 법 좀 알려주세요.,1,,,,,
갈비찜 요리법을 알고 싶어요.,1,,,,,
갈비찜 어떻게 만들어요?,1,,,,,
갈비찜 레시피 알려줄래요?,1,,,,,
갈비찜 요리하는 방법 좀 가르쳐주세요.,1,,,,,
갈비찜 만드는 방법 알려주세요.,1,,,,,
갈비찜 레시피 부탁드립니다.,1,,,,,
갈비찜 만드는 법을 알고 싶어요.,1,,,,,
갈비찜 요리법 좀 알려주시겠어요?,1,,,,,
삼계탕 레시피가 필요해요.,1,,,,,
삼계탕 만드는 법 좀 알려주세요.,1,,,,,
삼계탕 요리법을 알고 싶어요.,1,,,,,
삼계탕 어떻게 만들어요?,1,,,,,
삼계탕 레시피 알려줄래요?,1,,,,,
삼계탕 요리하는 방법 좀 가르쳐주세요.,1,,,,,
삼계탕 만드는 방법 알려주세요.,1,,,,,
삼계탕 레시피 부탁드립니다.,1,,,,,
삼계탕 만드는 법을 알고 싶어요.,1,,,,,
삼계탕 요리법 좀 알려주시겠어요?,1,,,,,
순두부찌개 레시피가 필요해요.,1,,,,,
순두부찌개 만드는 법 좀 알려주세요.,1,,,,,
순두부찌개 요리법을 알고 싶어요.,1,,,,,
순두부찌개 어떻게 만들어요?,1,,,,,
순두부찌개 레시피 알려줄래요?,1,,,,,
순두부찌개 요리하는 방법 좀 가르쳐주세요.,1,,,,,
순두부찌개 만드는 방법 알려주세요.,1,,,,,
순두부찌개 레시피 부탁드립니다.,1,,,,,
순두부찌개 만드는 법을 알고 싶어요.,1,,,,,
순두부찌개 요리법 좀 알려주시겠어요?,1,,,,,
밀푀유나베 어떻게 만들어?,1,,,,,
두부조림 만드는 방법이 궁금해,1,,,,,
오믈렛은 어떻게 만들어야 할까?,1,,,,,
알리오올리오 파스타 만들어보고 싶어,1,,,,,
사케동은 어떻게 만들수 있어?,1,,,,,
