sentence,emotion
1층 화장실 가봤어?,neutral
1층 화장실에 누가 토를 해놨어.,surprise
1층에서 4층 올라갈려고 엘리베이터 탔는데 갇혔어.,unrest
1학년 때 동아리에서 만났었었지.,neutral
"200만 원 짜리 노트북을 구매했는데, 정말 기분이 좋아.",happiness
200만원 정도 하는 노트북을 샀는데 배송이 늦어져서 걱정하고 있었어.,unrest
200만원짜리 노트북을 구입했는데 늦게 와서 걱정하고 있었어. 오늘 도착해서 너무 기뻐.,happiness
200만원짜리 노트북을 구입했는데 배송이 늦어져서 엄청 걱정했어. 오늘 도착해서 너무 기분이 좋아.,happiness
20명인가? 그 정도 뽑을걸?,surprise
2개월 정도 됐는데 아직도 자꾸 생각이 나.,sadness
2개월 정도 됐어. 처음 너한테 이야기 하는 거야.,neutral
2년 정도 사귄 거 같애.,neutral
2년만 채우고 퇴직금 받고 때려칠거야.,anger
2만 원 있는데 그건 교통비 해야 되거든.,neutral
"2만 원 정도밖에 없는데, 그걸로는 턱없이 부족해.",unrest
2만 원으로 2주를 살아야 하는데 너무 막막해 걱정이야.,unrest
"2만 원으로 어떻게 살아, 너무 힘들어!",anger
"2만원 남았어. 아껴 써도 2주를 어떻게 버티냐, 이거 가지고?",unrest
2만원 뿐이야. 어떡하지?,unrest
2만원밖에 없는데 이걸로 2주 버텨야 돼. 아 어떻게 하냐.,unrest
"2백 만 원 정도 주고 노트북을 샀는데, 노트북이 배송이 늦어서 걱정하고 있었어.",unrest
2주 동안은 버티기 힘들 거 같아.,sadness
"2주 버텨야 돼. 망했어, 나.",unrest
2주 정도 됐는데 아직 실감이 안나네.,neutral
2주 정도 살아야지 생활비가 들어오는데 생활비가 거의 다 떨어져가.,unrest
2주 정도 지난 것 같아.,neutral
2주 정도? 너무 속상해.,sadness
3 년을 만나면서 한 번도 다투거나 싸운 적이 없었어. 정말 나한테 잘해줬거든.,happiness
300만 원이 넘어. 비싼 것을 투자했어.,neutral
300만원이 조금 넘어. 내가 요번에는 제대로 투자 좀 했지.,neutral
300명 중에 5명밖에 안뽑는 거였어.,surprise
30동 건물이야.,neutral
30분 넘게 기다렸는데 아직도 안오고 있어.,anger
30분 동안 구경을 했는데 사람들이 너무 많아서 무슨 일인지 끝까지 몰랐어.,tired
"30분 정도 구경을 했는데, 사람들 말로는 무슨 행사가 있다고 모인 것 같다고 하더라고.",neutral
30분 정도 구경하다가 사람들이 많아서 앞에가 잘 보이지 않아서 그냥 집에 왔어.,regret
30분 정도 기다렸어. 진짜 추운데 맨날 늦는거같아 걔는.,anger
30분 정도 된 거 같애. 이게바로 코리안타임인가?,tired
30분 째 때부터 연락하고 있는데 안받아.,anger
30분이 지났는데 카톡도 안 보고. 뭐야?!,anger
30분이나 기다렸어. 어? 맨날 이렇게 늦을거야?,anger
365일 중에 360일 드셔.,neutral
3개월 된 강아지를 길에 버리더라고!,anger
3년 내내 만나면서 한 번도 싸운 적이 없었어 그러니까 더 황당해.,surprise
"3년 내내 별로 싸운 것도 없고, 뭐 특별할 일도 없고, 그냥 권태기라고 생각했는데.",regret
3년 내내 한 번도 싸운 적 없이 서로 사이가 좋았어 아무래도 다른 사람이 생긴 것 같아.,unrest
3년 내내 한 번도 싸운 적이 없어 정말 나한테 잘 맞춰 줬거든.,happiness
3년 넘게 만났어.,neutral
3년 넘었어 며칠 전에 3년 기념 파티 했거든.,happiness
3년 넘었지 결혼까지 생각했었거든.,neutral
3년 동안 만나면서 한 번도 다툰 적이 없었어 정말 나한테 잘 맞춰 줬거든.,happiness
3년 동안 사귀면서 한 번도 싸운 적도 없었고 마음이 너무 잘 맞아서 헤어진다고 생각은 못 했어.,regret
3년 동안 사귄 남자친구가 갑자기 권태기가 왔다고 잠깐 떨어져있자고 했어. 그런데 나중에 보니까 새로운 여자친구가 생겼더라고.,unrest
3년 동안 사귄 남자친구랑 결국 헤어졌어.,sadness
"3년 동안 싸운 적 거의 없었어. 잘 지냈다구. 하. 우리 지금 헤어진 지 두 달 됐거든? 주변 친구들한테 들었는데, 딴 사람이 생긴 거 같다는 거야.",surprise
3년 동안 한번도 안싸우다가 갑자기 권태기가 왔다고 하더니 딴 남자가 생겼어.,anger
3년 만났어. 결혼까지 생각했거든.,neutral
3년 만났으니 권태기가 왔을 거야 시간을 좀 갖자고 하더라고 그러더니 연락도 없고 문자만 헤어지자고 왔어.,anger
3년 만났지. 그 동안 싸운 적도 한 번도 없었거든.,neutral
3년 사귀던 여자친구 알지.,neutral
3년 전 친구 모임에서 처음 봤지.,neutral
3년 전 친구 소개로 알게 되었어 그 뒤로 계속 사귀게 되었지.,happiness
3년 전에 같은 과 선배가 소개시켜줬어.,neutral
3년 전에 그냥 소개팅으로 만났지 뭐.,neutral
3년 전에 그냥 아는 친구 사이였는데 연인으로 만나게 됐어.,happiness
3년 전에 동아리 모임에서 만났어.,neutral
3년 전에 만났었는데 그때는 정말 행복했는데.,regret
3년 전에 친구 사이로 만나서 서로 사랑하는 사람으로 발전되었지.,happiness
3년 전에 클럽에서 만났어.,neutral
3년 전에 회사에서 만났어.,neutral
3년 정도 만난 사이야 오래 만났지.,neutral
3년 조금 넘었어. 함께 한 시간이 너무 아깝다.,regret
3년 지났어. 그동안 사이도 좋았고 싸우지도 않았는데 왜 그러는지 모르겠어.,surprise
3년동안 거의 싸운적이 없었는데 권태기가 왔나봐.,tired
3년동안 사겼는데 권태기인 것 같아서 헤어지자고 했다? 근데 진짜 헤어지자는 거야.,unrest
3년을 만나면서 한 번도 싸운 적이 없었어 정말 나한테 잘해 줬거든.,happiness
3년이나 만나왔는데 갑자기 이러는 건 여자가 생긴 것 같아.,anger
3만 원에서 2만 원으로 떨어졌어.,sadness
3월 달에 헤어졌으니까 이제 2달이 넘었네.,sadness
3주 정도 된 것 같아.,neutral
500만 원 주는 이벤트였는데 당첨 됐어!,happiness
5분 정도만 하고 금방 왔어.,neutral
5분만 더 기다리고 안 오면 그냥 갈려고. 그리곤 다신 안 만날거야!,anger
5일 내내 드셔.,tired
5일 이상은 드시는 것 같애. 정말 답답해!,unrest
"6개월 남았으니까 그때까진 뭐, 어떻게 버텨볼라고.",tired
6개월만 버티면 정규직 되는 거잖아. 난 참아 볼 거야.,neutral
9층에서 멈추고 이제 불도 꺼졌어. 어떡하지?,unrest
가 또 할 수 있을까?,unrest
가 많이 와서 나갈 수가 없어.,tired
가 목줄끊고 도망간거야.,anger
가 아픈 것 같아.,sadness
가 어제 세상을 떠났어.,sadness
가격 폭락해버렸어.,sadness
가격은 뭐 반 토막 났지!,anger
가격이 안 올라서 슬퍼.,sadness
가격이 올랐어.,happiness
가격이 처음 샀을 때보다 많이 빠졌어.,sadness
가고 싶던 회사에서 또 떨어졌어.,sadness
가고 싶은 회사가 이제 안 남았어. 내년까지 기다려야 돼.,tired
가고싶었던 회사 면접인데 떨어지고 기대도 많이 했었는데 휴 슬프다.,sadness
가기 싫어서 돌아다니고 있어.,unrest
가까운 데가 어디있지? 인천에서 만나자고 할까?,neutral
가까이 가서 못 봤는데 그런 건 아닌 것 같앴는데.,tired
가끔 바깥에 나가서 작업할 일도 생기니까 아무래도 컴퓨터 보험을 들어볼 생각을 해봐야겠어.,tired
가끔 산책 가야겠다.,neutral
가끔 싸우기는 했지만 이렇게까지 안 만날 일은 아니였어.,sadness
"가끔 한 번씩 그러긴 하는데, 오늘은 좀 심하네. 아, 화나!",anger
가끔씩 10분 20분 이렇게 늦긴 했었는데 이렇게 한시간동안 늦은 적은 없었어. 그래도 약속은 잘 안지키는 편이야.,anger
"가끔씩 그래. 가끔씩. 그래서 친구랑 얘기도 했었는데, 그 때마다 매번 잘 지킨다고는 하는데 오늘 또 그러네.",anger
가끔씩 나도 산책을 하면서 정신을 좀 차려야 되겠어.,neutral
가끔씩 산책을 하면 기분 전환이 되니까 나의 우울한 마음도 사라질 수 있을 거 같아.,neutral
가끔씩 싸우긴 했지. 하지만 잘 맞는다고 생각했는데 내 생각이었나?,sadness
가는 거 나쁘지 않지. 그냥 평범해.,neutral
가는 길에 한번 말씀 드려야겠다.,neutral
가능하다면 나도 그러고 싶지.,neutral
가능하다면 따로 살고 싶어.,unrest
가다가 해피가 목줄을 끊고 달아나버렸어.,surprise
가뜩이나 나한테만 일 시키는게 수상한데 다른 얘기 돌까봐 회사에서는 얘기 못 하지.,unrest
가뜩이나 요새 일이 많아서 매일매일 야근하는데 나한테만 새로운 일을 자꾸 주니까 나도 회사 다니기 싫어져.,tired
"가뜩이나 일이 많아서 야근이니, 어? 점심시간도 없이 일하고 있는데 계속 이렇게 하면은 정말 다니기 힘들겠지.",tired
가로수길 걷고 있어.,neutral
가르치려 들지 마.,anger
가만히 앉아서 일을 하니까 허리가 더 아픈 것 같아.,tired
가면서 말씀드리고 갈게.,neutral
가방 안에 항상 우산을 가지고 다니니까 걱정 안 해도 돼. 내 몸은 괜찮아.,neutral
가벼운 접촉사고였는데 누가 신고를 많이 했나봐.,unrest
가보고 싶은데 일이 너무 많아.,tired
가보니까 뭐 상황이 다 끝났는지 사람들만 모여있고 무슨 일인지는 모르겠더라.,surprise
가봐야 알겠지만 일단 꽁짜 여행이니까 선물은 마음에 들지.,happiness
가서 따져 물어볼까?,anger
가서 버리고 올게.,neutral
가서 진료 받아볼게.,neutral
가성비 좋고 효과 좋은 걸로 부탁해.,neutral
가슴도 답답하고 우울한 마음이 계속 드니까 오늘은 산책을 하면서 기분전환을 해야겠어.,tired
"가슴이 너무 답답해서 나도 밖에 나가서 바람을 쐬고 싶은데, 해야 할 일이 너무 많아서 시간이 없어.",tired
가야하는데 장마가 와서 갈 수가 없어. 일 년 만에 휴간데 너무 속상해.,sadness
가야할 것 같은데 무서워.,unrest
가자마자 바로 쫓아내더라고. 더럽고 치사해서 안 보고 나왔어.,anger
가족 모두 슬퍼하고 있어. 특히 부모님이 걱정이야. 해피 떠나보내고 너무 많이 슬퍼하시니까.,sadness
"가족 뿐이니까, 부탁 한번 해봐야겠다. 전화 한번 해봐야겠네?",neutral
"가족 회의 때 자주 술을 먹지 말자고 말하는데, 아빠가 그 말을 듣질 않으셔. 다들 포기했어.",anger
가족끼리 간단하게 장례를 치렀어.,sadness
가족끼리 오늘 모여서 대책 회의를 해볼려고 그래.,neutral
"가족끼리 오늘 진지하게 얘기 나눠봐야겠다. 아버지 건강도 있고 나이도 있고 하는데, 자꾸 이러면 가족이 힘들잖아.",unrest
가족끼리 이야기 시도는 매번 하지. 하지만 변하지 않으셔.,tired
"가족끼리는 매일 얘기하고 있고, 근데 아버지가 안 드신다고 해놓고는 계속 드셔.",tired
가족들 다 장례를 진행할 경황이 없어. 아빠가 준비하시겠지.,sadness
가족들 모두 포기야. 아무리 얘기를 해도 듣질 않으셔.,anger
가족들도 경제적으로 너무 힘들어서 도움을 청할 수가 없어.,tired
"가족들도 많이 얘기해 봤는데 고쳐지질 않아 이제는 거의 포기 상태야.	",tired
가족들도 모두 충격이 크셔. 괜찮지 않은 것 같아.,sadness
가족들도 아파트 대출금 갚느라고 다들 힘들어 하셔. 말을 해 볼 수가 없어.,tired
가족들도 어제 저녁에 정말 다 놀랬어. 그리고 지금은 많이 슬퍼하시지.,sadness
가족들도 지금 너무 놀래서 서로 말이 없어.,surprise
가족들도 지금 너무 화가 나 있어.,anger
가족들도 지금 상황이 어려워.,tired
가족들에게는 너무 미안해서 말도 못 꺼내겠어.,sadness
가족들은 너무 슬퍼하고 있지. 나도 이게 꿈이었으면 좋겠어.,sadness
"가족들은 다 괜찮은데, 엄마만 정말 힘들어하셔. 엄마가 정말 애지중지 키우셨거든.",sadness
가족들은 다들 울고 난리도 아니야. 아직까지 그래.,sadness
가족들은 아직도 울고불고 난리야. 보는 내가 더 힘들어.,sadness
가족들은 허전하대.,sadness
가족들이 너무 힘들어 해.15년을 같이 살았으니 정도 많이 들었고 안타깝지.,sadness
"가족들이 말려도 그 날뿐이고, 결국에는 또 술 드시고 들어오셔.",tired
가족들이 아빠가 매번 다쳐오니까 걱정이 돼서 술 좀 그만 드시라고 술 좀 그만 드시라고 말씀 드렸는데 우리 말을 전혀 안들어.,unrest
가족들이 이야기 했는데 계속 술을 드시니까 아예 포기했어.,tired
"가족들이랑 동해 바다로 가서 놀고 오기로 했는데, 비가 와서 망했어.",sadness
가족들이랑 동해 바다에 가서 놀다 오기로 했어!,happiness
가족들한테 돈 빌릴 상황이 아니야.,tired
가족들한테 말하기가 너무 창피해.,unrest
가족들한테 부담주기 싫어.,tired
가족분들도 지금 너무 많이 울고있어서 정신이 없어.,sadness
가족이 사실 지금 너무 힘들어서 아무말도 못하겠어.,sadness
"가족이랑 대화 나누고 술 먹지 말라고 했는데, 소용이 없더라.",tired
가족한테 말한다면 난 정말 죽을거야 이제.,unrest
가지고 싶던 거였어.,neutral
가지고 싶었던 향수 당첨됐어!,happiness
"가지고 있는 저금통에 동전을 다 빼서 써서 수중에 아무 것도 없고 딸랑 통장에 2만 원 밖에 없어서 어떻게 살지 걱정이야.	",unrest
간단한 스트레칭 말고 힘든 운동 하려고.,neutral
간식 먹고 진정하고 있어.,neutral
간식 주니까 금방 진정되더라.,neutral
간신히 낸 휴간데 지금 장마 때문에 가지도 못해!,sadness
간신히 잠이 들어서 자고 있는데 엄청 큰 천둥 번개 소리 때문에 깜짝 놀라서 깼어.,surprise
갇혀 있으니까 무서워,unrest
갇힌 것 같아. 정말 큰일이야!,unrest
갈 데가 없어. 나도 먹고 살아야지.,tired
갈만한 데가 없어.,tired
감기 걸려서 나가는 건 힘들 거 같애.,tired
감기 걸려서 힘들었는데. 그래도 열심히 기획안을 작성해서 상사한테 보여줬는데 지적만 당했어.,sadness
"감기 기운은 없는데, 비염이 좀 심해졌어.",tired
"감기 때문에 너무 힘든데도 기획안 제출하려고 밤 샜는데, 오늘 잘못 된 부분만 지적당하고. 너무 스트레스 받는다.",anger
감기가 걸려서 너무 아팠는데 어제 밤샘작업으로 기획안을 완성했어. 완성된 기획안을 상사한테 제출했더니 잘못됐다고 처음부터 다시 만들어 오래.,sadness
감기에 걸려서 밖에 나가는 것도 힘들다. 그냥 앉아 있고 싶어.,tired
감사해요. 잘됐어요.,happiness
감염병 때문에 전국적으로 난리가 나서 나도 약속을 미루고 싶어. 하지만 친구가 어떻게 생각할 지 모르겠어.,unrest
"감염병 확진자 확인된 강남 지역이 약속 장소라서 너무 걱정돼.	",unrest
감염병에 전염되면 서로 힘드니까 친구한테 지금 전화해서 내일 약속을 어떻게 할지 상의 해봐야겠어.,unrest
감염병이 여기저기 확산되고 있어서 나도 걱정이 돼서 약속을 미루고 싶어.,unrest
갑자기 건물이 흔들려서 너무 놀랐지.,surprise
갑자기 겪으니까 이게 진짜 무섭더라고. 사람들 막 넘어지고 막 지진이라고 소리지르고 난리 났었어.,surprise
갑자기 권태기가 왔는지 서로 시간을 갖자는 거야. 그러더니 헤어지자고 통보가 오더라고.,sadness
갑자기 권태기가 왔다고 하더라고. 그러더니 시간을 갖자는 거야. 나중에 알고 봤더니 새로운 사람이 생긴거였어.,sadness
갑자기 그게 무슨 소리야. 내가 너한테 뭘 그랬다고.,anger
갑자기 그랬어 갑자기. 병원에 갔었는데 나이도 있고 해서 가망이 없대 지금.,sadness
갑자기 그러니까 너무 당황스러운거야. 막 사람들 우왕좌왕하고. 내 친구는 막 달려가다가 넘어지면서 발목 다쳤어.,surprise
갑자기 그렇게 됐어. 어제 밤에 끝내 눈을 감더라고.,sadness
갑자기 나한테 영상을 소개하면 어떡해. 내 이야기 좀 들어줘.,unrest
갑자기 날씨가 좋았냐고? 음 날씨는 좋았던 거 같애.,neutral
갑자기 남자친구가 권태기가 왔다고 잠깐 떨어져 있자고 했어. 그래서 그런 줄 알고 있었는데 나중에 알고 보니까 새로운 여자친구가 생겼더라고. 그래서 결국 헤어졌어.,sadness
갑자기 내 건강은 왜 걱정해? 난 괜찮거든?,unrest
갑자기 내가 일방적으로 차였어.,sadness
갑자기 내린 비로 집 밖이 물바다래.,surprise
갑자기 달려오는 해피 때문에 사람들이 깜짝 놀랐어.,surprise
갑자기 당한 일이라 다들 슬픔에 잠겨있어.,sadness
갑자기 대형견이 해피를 물려고했어.,surprise
갑자기 따로 살자고 말하기는 좀 그렇고. 그래도 같이 살 수 있는 방법이 없을까?,unrest
갑자기 떨어져서 큰 손해를 봤어.,sadness
갑자기 말을 왜 그렇게 하는데?,anger
갑자기 멀쩡하던 목줄이 끊어져버린 거야!,surprise
갑자기 멈추고 불이 꺼졌어.,surprise
갑자기 목줄을 끊고 달아나 버렸어.,surprise
갑자기 문이 안 열려.,unrest
갑자기 물이 차 올라 집 주변에서 밖으로 나갈 수 없을 것 같아.,surprise
갑자기 뭔 뚱딴지 같은 소리야.,anger
갑자기 발작을 일으키더니 죽었어.,sadness
갑자기 밥 먹다가 쓰러지는 거야. 응급실로 데려갔더니 의사선생님이 마음의 준비를 하라고 하더라고.,sadness
갑자기 배추 목줄이 풀린거야. 아 그래가지고 그때 진짜 큰일나는 줄 알았어.,surprise
갑자기 병에 걸렸나봐. 너무 슬퍼.,sadness
갑자기 비가 많이 와서 우리 동네가 고립됐어. 그러면서 갇히게 됐어.,unrest
갑자기 산책 중에 해피가 목줄을 끊고 달아났어!,surprise
갑자기 시간을 갖자고 하더니 아무래도 다른 여자가 생긴 거 같더라고.,anger
"갑자기 시간을 두고 연락하지 말자고 이야기를 하는 거야.	",neutral
갑자기 시작한 건 아니고 친구한테 좋은 정보 들어가지고 돈 좀 벌어볼까 할려고 해서 했지.,neutral
갑자기 심장병으로 떠났어.,sadness
갑자기 십오 년 동안 키운 아이가 갔으니 다들 황망하지.,sadness
갑자기 쓰러지더니 응급실에서 결국은 죽었어.,sadness
갑자기 쓰러지더라고. 그래서 응급실 갔더니 마음의 준비를 하라고 했어.,unrest
갑자기 아파서 슬픔이 더 큰 것 같아.,sadness
"갑자기 아파서 응급실 다녀오고 나서 조금 괜찮아졌는데, 갑자기 떠났어.",sadness
갑자기 아프게 된 건 아니고 시름시름 앓았었는데 그저께 입원해서 나아지는가 싶더니 결국엔 떠났어.,sadness
갑자기 아픈 건 아니고. 나이가 많이 먹었잖아. 그래서 자다가 그냥 세상을 떠난 것 같아.,sadness
갑자기 아픈거 같더라구. 그래서 별생각없이 병원에 갔었어. 괜찮은 것 같더라. 근데 그게 아니었어. 우리한테 마지막인사를 하려고 괜찮았었나봐.,sadness
갑자기 엘리베이터가 멈췄어. 불도 꺼졌어.,surprise
갑자기 여자친구가 권태기 왔다고 그러더니 시간 갖자고 그러다니 헤어졌어.,sadness
갑자기 의식을 잃고 쓰러져서 응급실에 데려갔더니 일어나는 듯 하더니 결국은 떠났어.,sadness
갑자기 의식을 잃어서 동물병원 응급실로 데려갔어. 치료를 받고 밥도 먹고 잘 지내고 있었는데 결국엔 죽었어.,sadness
갑자기 의식을 잃어서 응급실에 가게 됐어.,surprise
갑자기 의식을 잃었어. 그래서 동물병원 응급실로 데려가서 치료를 받던 중 가 세상을 떠났어.,sadness
갑자기 이런 영상은 나한테 왜 보내는 건데?,anger
갑자기 일어난 지진 때문에 내 친구는 발목을 좀 다쳤어. 옆에서 밥을 먹던 사람들은 여기저기 넘어지긴 했지만 크게 다친 사람은 없었어.,surprise
"갑자기 일어난 지진 때문에 사람들이 여기저기 넘어졌어. 하지만 크게 다친 사람들이 없어서, 정말 다행이었어.",surprise
갑자기 일어난 지진 때문에 엄청 놀라고 무서워서 어제 저녁에 잠도 못 잤어. 아직도 놀란 것이 그대로 남아있어.,surprise
갑자기 일어난 지진때문에 너무 놀라서 그냥 테이블밑에 엎드려 있었어.,unrest
갑자기 잠결에 폭탄 터지는 소리가 나더라고.,surprise
갑자기 장마가 지면서 비가 많이 내려서 우리 동네가 고립되면서 갇히게 되었어.,unrest
"갑자기 전화가 와서 헤어지자고 하더라고.	",sadness
갑자기 정신을 잃더니 그만 죽고 말았어.,sadness
갑자기 정전이 나면서 엘레베이터가 멈췄어.,surprise
갑자기 정전이 되더니 엘리베이터가 움직이질 않아. 어떡하지?,surprise
갑자기 줄이 끊어졌어. 그래서 해피가 뛰어나갔어.,surprise
갑자기 지인이 나한테 추천해줘가지고 시작했어.,neutral
갑자기 지진이 나가지고 나는 괜찮은데 친구가 발목 좀 접질렸어.,surprise
갑자기 지진이 나서 친구가 발목을 다쳤어.,surprise
갑자기 지진이 난거야! 너무 놀라서 튀어나왔지!,surprise
갑자기 지진이 생기는 바람에 사람들이 많이 넘어지고 친구가 발목을 다쳤어. 정말 놀랬어.,surprise
갑자기 지진이 일어난 거라 사람들도 난리도 아니었어.,surprise
갑자기 진동이 느껴져서 놀랐는데 다치지는 않았어.,surprise
갑자기 짭새가 몰려들어서 구경갔다왔어.,neutral
갑자기 차가 나한테 들이박는 거야.,surprise
갑자기 천둥이 쳐가지고.,surprise
갑자기 친구가 전화해서 좋은 종목을 추천 해 주더라고.,happiness
갑자기 친구가 주식하자고 해서 충동적으로 하게 됐어.,neutral
갑자기 쾅 하더니 멈춰버렸어.,surprise
갑자기 폭탄이 터지잖아. 난 전쟁 난 줄 알았어.,surprise
갑자기 해피 목줄이 끊어져 가지고 해피가 도망갔어.,surprise
갑자기 해피 목줄이 끊어졌어. 그래서 놀랬어.,surprise
갑자기 해피가 달려가니까 사람들이 엄청 놀랐어. 하지만 괜찮다고 했어.,surprise
갑자기 해피가 뛰어와서 사람들이 엄청 놀랐지만 괜찮다고 했어.,surprise
갑자기 해피가 뛰쳐나가는거야. 내가 잡을 수도 없었어.,surprise
갑자기 해피가 막 달려와서 깜짝 놀라긴 했지만 괜찮다고 했어.,surprise
갑자기 해피가 목줄을 끊고 도망갔거든.,surprise
갑자기 해피가 목줄을 끊고 막 뛰어가잖아. 그래서 못 잡을까봐 너무 놀랐어.,surprise
갑자기 해피가 세상을 떠나서 가족들도 나도 모두 힘들고 슬퍼하고 있어.,sadness
갑자기 해피가 우리 곁을 떠나고 나니까 해피의 빈자리가 너무 크게 느껴져.,sadness
갑자기 해피의 목줄이 끊어지면서 해피가 도망갔어.,surprise
갑자기 해피의 목줄이 끊어지면서 해피가 막 달려나갔어.,surprise
갑자기 헤어지게 돼서 나도 그 이유를 잘 모르겠어.,neutral
갑자기 헤어지자고 통보하더라고.,anger
갑자기 헤어지자는 통보를 받았어. 다른 여자가 생긴것 같아.,regret
갑자기 헤어지쟤. 권태기라고.,sadness
갑자기 홍수가 나서 집 주위가 물이 차올라서 바깥으로 나갈 수가 없어.,unrest
"갑자기 회사에서 전화 와서 새로운 업무를 준다고 해서 너무 화가 나고 스트레스 받았는데, 너한테 이야기하고 나니까 마음이 좀 풀렸어.",anger
갑자기는 아니지만 나이가 많이 들어서 그런 거 같애.,neutral
갑자기는 아니지만 나이가 많이 들어서 노환으로 떠난거야.,neutral
갑작스러운 죽음에 다들 슬퍼하고 있어.,sadness
강남 가야되는데 요즘 바이러스 때문에 난리잖아.,unrest
"강남 쪽에 친구랑 내일 약속한 약속 있는데 요즘 바이러스가 막 터지고 있잖아 그래서 나 너무 무서워 나갈까 말까?	",unrest
"강남 쪽에서 보기로 했거든. 거기 확진자도 계나오고, 오늘은 사망자까지 보고됐어서.",unrest
"강남 확진자 나왔대. 내가 갔다가 나도 걸리면 어떡해 우리 가족도 있는데.	",unrest
강남. 사람이 많아서 걱정된다..,unrest
강남에서 괜히 만났다가 병에 걸리면 서로 안 좋으니깐 약속을 취소할 지 약속 장소를 변경할 지 이야기를 해봐야겠어.,unrest
"강남에서 만나기로 했는데, 거기서 바이러스가 퍼졌다고 해서.",unrest
"강남에서 만났다가 괜히 병에 감염되면 안되니까 친구한테 전화해서 약속장소를 변경할지, 약속을 취소할지 이야기 좀 해봐야겠어.",unrest
강남에서 보기로 했는데 강남에 감염자 있어서 큰일이네.,unrest
"강남에서 보기로 했는데 요즘 코로나에 제일 위험하잖아.	",unrest
강남에서 보기로 했는데 코로나가 신경쓰여.,unrest
"강남에서 보기로 했는데, 요즘 바이러스 되게 심각하잖아. 불안해진다.",unrest
"강남에서 친구를 만나기로 했는데, 요즘 바이러스가 매우 심각해서 걱정된다. 어떻게 할까?",unrest
강남역 말고. 갈만한 곳이 있을까?,neutral
강남역 주변인데 그곳에서 확진자가 나왔대.,unrest
강남역에 맛집이 너무 많아서 고르기가 힘들더라구. 나는 양식을 좋아하니까 친구랑 양식을 먹고 싶어.,neutral
강남역에서 만나기로 했는데 음식점이 정말 많다.,neutral
강남역에서 만나기로 했는데 뭘 먹을까?,neutral
강남역은 사람이 많이 다니는 곳이니까 한적한 공원으로 옮기자고 하는 게 좋겠지.,unrest
강남역이야 오늘 그곳에서 확진자가 보고됐대.,unrest
강남역이야. 근데 그곳에서 어제 확진자가 나왔대.,unrest
강남역인데 거기 맛집이 정말 많잖아.,neutral
강남역인데 그곳에서 확진자가 나왔대.,unrest
"강남역인데 그곳에서 확진자가 나왔고, 요즘 바이러스 상황이 너무 무섭다.",unrest
강남역인데 어제 그곳에서 확진자가 나왔대.,unrest
강남이라서 너무 걱정된다.,unrest
강남이야. 거기서 확진자가 나왔다..,unrest
강남인데 거기 요즘 상황이 심각하다..,unrest
강남인데 거기 요즘 코로나 때문에 확진자랑 사망자 많이 나오잖아.,unrest
강력한 곰팡이 제거제가 필요해.,neutral
"강아지 때는 귀여워서 키우는데 커다란 성인 견이 되면 그 다음엔 더 이상 키울 수가 없어서 버리나 봐.	",sadness
강아지 목줄이 갑자기 끊어졌어.,surprise
